securLayer,HEXinURL,IPinURL,hostLength,URLlength,pathLength,dashInHOST,dotInHOST,dotInPATH,slashInURL,DigitInHOST,NumOfCertainKeyword,numOfSpecialCharacters,AtInURL,underscoreInHOST,underscoreInPATH,PresenceOfWWW,portRedirect,numOfHexWithePersent,NumberOfForms,numGet,numpost,numberOfOuterSRCinScript,numberOfScript,NumberOfIframe,NumberOfApplet,NumberOfEmbed,NumberOfFrame,NumberOflink,NumberOfNonlink,NumberOfFsubmint,NumberOfInputEmail,NumberOfInputpassword,NumberOfFbutton,alexa,age,target label
0,0,0,18,83,58,0,4,0,11,0,5,0,0,0,0,1,0,0,2,1,1,4,12,0,0,0,0,15,0,1,1,1,1,17374,19,1
0,0,0,16,39,16,0,1,0,6,0,2,0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,1,1,-1,19,1
0,0,0,20,43,16,0,2,0,6,0,2,0,0,0,0,1,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,1,1,-1,19,1
1,0,0,22,51,21,0,2,1,5,0,1,0,0,0,0,1,0,0,1,0,1,4,8,0,0,0,0,19,0,1,0,0,1,18452540,18,1
1,0,0,25,547,514,0,2,4,5,0,9,23,0,0,10,0,0,5,2,0,2,2,7,1,0,0,0,5,0,1,1,1,1,60,15,1
0,0,0,19,64,38,0,1,2,7,0,2,0,0,0,0,0,0,0,1,0,1,75,95,13,0,2,0,50,5,1,1,0,1,-1,15,1
0,0,0,19,27,1,0,2,0,3,3,1,0,0,0,0,0,0,0,1,0,1,1,3,0,0,0,0,3,0,1,0,1,1,-1,15,1
0,0,0,20,28,1,0,2,0,3,2,1,0,0,0,0,0,0,0,1,0,1,1,3,0,0,0,0,3,0,1,0,1,1,-1,15,1
1,0,0,25,76,43,1,3,2,7,1,3,0,0,0,0,0,0,0,1,0,1,1,3,0,0,0,0,3,0,1,0,1,1,117,12,1
0,0,0,19,57,31,0,1,1,4,0,2,1,0,0,0,0,0,1,1,0,1,4,8,0,0,0,0,19,0,1,0,0,1,-1,12,1
0,0,0,23,61,31,0,2,1,4,0,2,1,0,0,0,1,0,1,1,0,1,4,8,0,0,0,0,19,0,1,0,0,1,-1,12,1
0,0,0,10,31,14,0,1,0,5,0,2,0,0,0,0,0,0,0,1,0,1,3,5,0,0,0,0,0,0,0,0,1,1,-1,11,1
1,0,0,10,41,23,0,1,1,5,0,4,0,0,0,0,0,0,0,1,0,1,3,5,0,0,0,0,0,0,0,0,1,1,-1,11,1
1,0,0,10,32,14,0,1,0,5,0,2,0,0,0,0,0,0,0,1,0,1,3,5,0,0,0,0,0,0,0,0,1,1,-1,11,1
0,0,0,19,27,1,0,2,0,3,0,2,0,0,0,0,0,0,0,1,0,1,7,11,0,0,0,0,18,0,1,0,1,1,-1,9,1
0,0,0,23,31,1,1,2,0,3,0,3,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,11,0,0,0,1,1,-1,9,1
0,0,0,14,49,28,1,1,1,5,0,2,0,0,0,0,0,0,0,1,0,1,4,8,0,0,0,0,19,0,1,0,0,1,-1,9,1
0,0,0,16,52,29,0,2,1,6,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7663563,8,1
0,0,0,12,28,9,0,1,0,4,0,0,0,0,0,0,0,0,0,2,0,2,3,8,1,0,0,0,4,0,1,1,0,1,-1,7,1
0,0,0,17,43,19,0,2,1,4,0,1,0,0,0,0,1,0,0,1,0,1,1,3,0,0,0,0,0,0,0,0,0,1,1789738,6,1
0,0,0,17,49,25,0,2,1,4,0,1,0,0,0,0,1,0,0,1,0,1,1,3,0,0,0,0,3,0,1,0,1,1,1789738,6,1
0,0,0,22,74,45,0,1,0,6,0,2,0,0,0,1,0,0,0,2,1,1,6,15,0,0,0,0,15,0,1,1,1,1,-1,6,1
0,0,0,11,34,16,0,1,1,4,0,2,0,0,0,0,0,0,0,1,0,1,2,4,0,0,0,0,0,0,0,0,1,1,-1,5,1
0,0,0,15,38,16,0,2,1,4,0,2,0,0,0,0,1,0,0,1,0,1,2,4,0,0,0,0,0,0,0,0,1,1,-1,5,1
0,1,0,11,52,34,0,1,0,4,0,0,0,0,0,0,0,0,0,2,1,1,4,11,0,0,0,0,15,0,1,1,1,1,-1,5,1
0,0,0,11,38,20,0,2,1,4,0,1,0,0,0,0,1,0,0,1,0,1,4,8,0,0,0,0,19,0,1,0,0,1,-1,5,1
0,0,0,11,40,22,0,2,1,4,0,1,0,0,0,0,1,0,0,1,0,1,4,8,0,0,0,0,19,0,1,0,0,1,-1,5,1
0,0,0,9,47,31,0,1,1,4,0,1,1,0,0,0,0,0,1,1,0,1,4,8,0,0,0,0,19,0,1,0,0,1,4432863,4,1
0,0,0,21,29,1,0,2,0,3,0,2,0,0,0,0,0,0,0,1,0,1,2,4,0,0,0,0,0,0,0,0,1,1,425723,4,1
0,0,0,16,107,84,1,1,2,10,0,11,4,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,3,0,1,0,1,1,-1,4,1
0,0,0,16,146,123,1,1,4,10,0,12,4,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,3,0,1,0,1,1,-1,4,1
0,0,0,16,107,84,1,1,2,10,0,11,4,0,0,0,0,0,0,1,0,1,1,3,0,0,0,0,3,0,1,0,1,1,-1,4,1
0,0,0,20,111,84,1,2,2,10,0,11,4,0,0,0,1,0,0,1,0,1,0,2,0,0,0,0,3,0,1,0,1,1,-1,4,1
0,0,0,20,115,88,1,2,2,10,0,11,5,0,0,0,1,0,0,1,0,1,0,2,0,0,0,0,3,0,1,0,1,1,-1,4,1
0,0,0,14,42,21,1,1,1,4,0,1,0,0,0,0,0,0,0,0,0,0,4,5,1,0,0,0,28,0,0,0,0,1,-1,3,1
0,0,0,17,52,28,0,2,1,5,0,4,0,0,0,0,0,0,0,1,0,1,1,3,0,0,0,0,3,0,1,0,1,1,197416,2,1
0,0,0,21,51,23,0,2,1,5,0,3,0,0,0,0,0,0,0,1,0,1,1,3,0,0,0,0,3,0,1,0,1,1,197416,2,1
0,0,0,29,78,42,0,1,1,6,0,3,0,0,0,0,0,0,0,1,0,1,2,4,0,0,0,0,0,0,0,0,1,1,-1,1,1
0,0,0,21,78,50,0,1,1,8,0,8,0,0,0,0,0,0,0,2,1,1,4,12,0,0,0,0,15,0,1,1,1,1,-1,0.8,1
0,0,0,21,68,40,0,1,0,8,0,6,0,0,0,0,0,0,0,2,1,1,4,12,0,0,0,0,15,0,1,1,1,1,-1,0.8,1
0,0,0,22,77,48,0,1,1,8,0,8,0,0,0,0,0,0,0,2,1,1,4,12,0,0,0,0,15,0,1,1,1,1,-1,0.11,1
0,0,0,19,66,40,0,1,0,8,0,5,0,0,0,0,0,0,0,2,1,1,4,12,0,0,0,0,15,0,1,1,1,1,-1,0.11,1
0,0,0,23,70,40,0,2,0,8,0,5,0,0,0,0,1,0,0,2,1,1,4,12,0,0,0,0,15,0,1,1,1,1,-1,0.11,1
0,0,0,25,130,98,0,3,0,4,0,3,17,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,9,0,0,0,0,1,3880452,0,1
1,0,0,27,177,142,0,2,0,4,0,1,8,0,0,4,0,0,0,1,0,1,6,24,0,0,0,0,1,77,1,1,0,1,51223,0,1
0,0,0,19,27,1,0,2,0,3,5,2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,11,0,0,0,1,1,19655,0,1
1,0,0,24,56,24,0,2,1,4,0,2,0,0,0,0,1,0,0,1,0,1,4,8,0,0,0,0,19,0,1,0,0,1,-1,0,1
1,0,0,24,57,25,0,2,1,4,0,2,0,0,0,0,1,0,0,1,0,1,4,8,0,0,0,0,19,0,1,0,0,1,-1,0,1
0,0,0,11,109,91,0,1,1,10,0,7,0,0,0,0,0,0,0,8,1,7,11,33,0,0,0,0,31,1,2,0,1,1,-1,-1,1
1,0,0,20,152,124,0,2,5,5,0,6,9,0,0,0,0,0,5,1,0,1,1,3,0,0,0,0,3,0,1,0,1,1,-1,-1,1
0,0,0,18,56,31,1,2,0,7,0,1,0,0,0,1,1,0,0,1,0,1,2,4,0,0,0,0,0,0,0,0,1,1,-1,-1,1
0,0,0,17,35,11,0,1,0,4,0,0,0,0,0,0,0,0,0,1,0,1,4,7,0,0,0,0,7,0,1,0,0,1,-1,-1,1
0,0,0,17,57,33,0,2,0,7,0,6,0,0,0,0,0,0,0,2,1,1,4,12,0,0,0,0,15,0,1,1,1,1,-1,-1,1
0,0,0,22,71,42,0,3,1,7,0,4,0,0,0,1,1,0,0,2,0,2,7,13,0,0,0,0,92,0,1,0,0,1,-1,-1,1
0,0,0,13,33,13,0,1,1,4,0,1,0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,0,4,0,1,0,1,1,-1,-1,1
0,0,0,14,81,60,0,2,1,7,0,3,0,0,0,1,1,0,0,1,0,1,18,21,1,0,0,0,21,0,1,0,0,1,2605888,-10,1
0,0,0,19,59,33,0,2,1,8,0,1,0,0,0,0,1,0,0,1,0,1,2,4,0,0,0,0,0,0,0,0,1,1,-1,-10,1
0,0,0,15,55,33,0,1,1,8,0,1,0,0,0,0,0,0,0,1,0,1,2,4,0,0,0,0,0,0,0,0,1,1,-1,-10,1
0,0,0,18,46,21,0,1,1,5,0,1,0,0,0,0,0,0,0,1,0,1,4,8,0,0,0,0,19,0,1,0,0,1,18420968,18,1
0,0,0,10,48,31,0,1,1,4,0,2,2,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,0,1,0,1,1,11522307,5,1
0,0,0,10,30,13,0,1,0,4,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,0,1,0,1,1,11522307,5,1
0,0,0,10,52,35,0,1,1,4,0,2,2,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,0,1,0,1,1,11522307,5,1
0,0,0,10,54,37,0,1,1,4,0,2,2,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,0,1,0,1,1,11522307,5,1
0,0,0,25,62,30,0,2,1,6,0,4,0,0,0,0,1,0,0,1,0,1,0,2,0,0,0,0,3,0,1,0,1,1,9295117,6,1
0,0,0,21,58,30,0,1,1,6,0,4,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,3,0,1,0,1,1,9295117,6,1
0,0,0,25,84,52,0,2,2,6,0,6,2,0,0,0,1,0,0,1,0,1,0,2,0,0,0,0,3,0,1,0,1,1,9295117,6,1
0,0,0,25,88,56,0,2,2,6,0,7,2,1,0,0,1,0,0,1,0,1,0,2,0,0,0,0,3,0,1,0,1,1,9295117,6,1
0,0,0,14,78,57,0,2,1,5,0,2,5,0,0,0,1,0,5,2,0,2,3,8,1,0,0,0,4,0,1,1,1,1,5084737,14,1
0,0,0,11,80,62,0,1,1,6,0,3,5,0,0,0,0,0,5,2,0,2,3,8,1,0,0,0,4,0,1,1,1,1,1684894,20,1
0,0,0,26,52,19,1,2,1,4,0,4,0,0,0,0,0,0,0,1,0,1,4,8,0,0,0,0,19,0,1,0,0,1,241510,20,1
0,0,0,30,98,61,0,2,1,5,0,5,5,0,0,0,0,0,5,2,0,2,3,8,1,0,0,0,5,0,1,1,1,1,4533,1,1
0,0,0,30,54,17,0,2,1,4,0,6,0,0,0,0,0,0,0,2,0,2,0,3,0,0,0,0,4,0,1,0,0,1,4533,1,1
1,0,0,14,30,8,0,2,0,4,0,2,0,0,0,0,1,0,0,1,1,0,22,30,0,0,0,0,65,0,0,0,0,1,72,18,1
0,0,0,20,108,81,0,2,2,9,0,10,4,0,0,0,1,0,0,1,0,1,0,2,0,0,0,0,3,0,1,0,1,1,-1,13,1
0,0,0,20,107,80,0,2,2,9,0,10,3,0,0,0,1,0,0,1,0,1,0,2,0,0,0,0,3,0,1,0,1,1,-1,13,1
0,0,0,20,79,52,0,2,1,9,0,6,0,0,0,0,1,0,0,1,0,1,0,2,0,0,0,0,3,0,1,0,1,1,-1,13,1
0,0,0,20,133,106,0,2,3,9,0,11,5,1,0,0,1,0,0,1,0,1,0,2,0,0,0,0,3,0,1,0,1,1,-1,13,1
0,0,0,22,68,39,0,2,1,6,0,3,0,0,0,0,1,0,0,1,0,1,4,8,0,0,0,0,19,0,1,0,0,1,-1,9,1
0,0,0,16,36,13,0,2,1,4,0,1,0,0,0,0,1,0,0,4,2,2,36,46,0,0,0,0,539,2,2,0,1,1,-1,8,1
0,1,0,19,105,79,0,2,1,7,0,2,2,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,3,1,1,0,1,1,-1,6,1
1,0,0,11,37,18,0,1,1,4,0,2,0,0,0,0,0,0,0,1,0,1,1,3,0,0,0,0,4,0,1,0,2,1,-1,2,1
0,0,0,20,55,28,0,1,1,4,0,2,2,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,0,1,0,1,1,-1,1,1
1,0,0,17,43,18,0,1,1,4,0,2,0,0,0,0,0,0,0,1,0,1,1,3,0,0,0,0,3,0,1,1,2,1,-1,0.8,1
1,0,0,24,73,41,1,1,1,8,0,4,0,0,0,0,0,0,0,2,0,2,2,7,1,0,0,0,4,0,1,0,0,1,-1,0.5,1
0,0,0,15,53,31,0,2,2,4,0,4,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,0,1,0,1,1,-1,0.1,1
1,0,0,15,54,31,0,2,2,4,0,4,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,0,1,0,1,1,-1,0.1,1
1,0,0,15,69,46,0,2,3,4,0,5,2,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,0,1,0,1,1,-1,0.1,1
0,0,0,15,68,46,0,2,3,4,0,5,2,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,0,1,0,1,1,-1,0.1,1
0,0,0,7,43,29,0,1,1,6,0,2,0,0,0,0,0,0,0,1,0,1,1,3,0,0,0,0,3,0,1,0,1,1,-1,0,1
0,0,0,19,27,1,0,1,0,3,0,1,0,0,0,0,0,0,0,1,0,1,2,4,0,0,0,0,1,0,0,0,0,1,-1,-1,1
0,0,0,21,68,40,0,3,0,7,0,3,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,-1,-1,1
0,0,0,24,72,41,1,1,1,8,0,4,0,0,0,0,0,0,0,2,0,2,2,7,1,0,0,0,4,0,1,0,0,1,-1,-10,1
0,0,0,20,108,81,0,2,2,9,0,10,4,0,0,0,1,0,0,1,0,1,0,2,0,0,0,0,3,0,1,0,1,1,3515392,13,1
1,0,0,17,55,30,0,3,0,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1807,29,1
0,0,1,13,142,122,0,3,5,11,10,8,8,0,0,0,0,0,0,2,0,2,5,11,2,0,0,0,48,0,0,0,1,0,-1,27,1
0,0,1,13,93,73,0,3,5,10,10,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,27,1
0,0,1,14,35,14,0,3,0,5,10,0,0,0,0,0,0,0,0,1,0,1,4,5,0,0,0,0,3,6,1,1,1,0,-1,27,1
0,0,1,11,33,15,0,3,0,5,8,0,0,0,0,1,0,0,0,1,0,1,1,2,0,0,0,0,4,0,1,0,1,0,-1,26,1
1,0,0,13,46,25,0,2,0,3,0,1,2,0,0,1,0,0,0,1,1,0,8,68,0,0,0,0,87,0,0,0,0,0,692,24,1
0,0,0,17,25,1,0,2,0,3,2,0,0,0,0,0,0,0,0,1,0,1,15,23,3,0,0,0,3,0,1,0,0,0,13954266,23,1
1,0,0,14,45,23,0,2,0,4,0,1,2,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,7,0,1,0,1,0,1374343,23,1
1,0,0,14,39,17,0,2,1,4,1,4,0,0,0,0,1,0,0,2,0,2,39,65,1,0,0,0,32,3,1,0,2,0,8261,23,1
0,0,0,18,52,27,0,2,1,5,0,3,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3917,23,1
1,0,0,12,57,37,0,2,0,5,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,958,23,1
1,0,0,17,84,59,0,2,0,3,0,3,4,0,0,0,0,0,0,2,0,2,5,25,1,0,0,0,0,0,0,0,0,0,16,23,1
1,0,0,24,36,4,0,2,0,4,0,0,0,0,0,0,0,0,0,1,1,0,4,8,0,0,0,0,1,0,0,0,0,0,10,23,1
0,0,0,19,27,1,0,2,0,3,0,0,0,0,0,0,0,0,0,1,0,1,13,21,2,0,0,0,3,0,1,0,0,0,-1,23,1
0,0,0,21,29,1,0,2,0,3,0,0,0,0,0,0,0,0,0,1,0,1,13,21,2,0,0,0,3,0,1,0,0,0,-1,23,1
0,0,0,23,31,1,0,2,0,3,0,0,0,0,0,0,0,0,0,1,0,1,13,21,2,0,0,0,3,0,1,0,0,0,-1,23,1
0,0,0,16,27,4,0,2,0,4,2,0,0,0,0,0,0,0,0,1,0,1,13,21,3,0,0,0,3,0,1,0,0,0,-1,23,1
0,0,0,22,33,4,0,2,0,4,1,0,0,0,0,0,0,0,0,1,0,1,13,21,2,0,0,0,4,0,1,0,0,0,-1,23,1
0,0,0,15,23,1,0,2,0,3,0,0,0,0,0,0,0,0,0,1,0,1,15,23,3,0,0,0,3,0,1,0,0,0,-1,23,1
0,0,0,34,50,9,1,2,0,4,4,2,0,0,0,0,0,0,0,1,0,1,13,21,2,0,0,0,3,0,1,0,0,0,-1,23,1
0,0,0,19,42,16,0,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,9,0,0,0,0,0,-1,23,1
0,0,0,26,34,1,0,2,0,3,4,0,0,0,0,0,0,0,0,1,0,1,13,21,2,0,0,0,3,0,1,0,0,0,-1,23,1
0,0,0,20,28,1,0,2,0,3,2,0,0,0,0,0,0,0,0,1,0,1,15,23,3,0,0,0,3,0,1,0,0,0,-1,23,1
0,0,0,22,33,4,0,2,0,4,3,2,0,0,0,0,0,0,0,1,0,1,13,21,2,0,0,0,4,0,1,0,0,0,-1,23,1
0,0,0,35,49,7,1,2,0,4,6,3,0,0,0,0,0,0,0,1,0,1,13,21,2,0,0,0,3,0,1,0,0,0,-1,23,1
0,0,0,35,49,7,1,2,0,4,6,3,0,0,0,0,0,0,0,1,0,1,15,23,3,0,0,0,3,0,1,0,0,0,-1,23,1
0,0,0,27,39,5,0,2,0,4,2,2,0,0,0,0,0,0,0,1,0,1,15,23,3,0,0,0,3,0,1,0,0,0,-1,23,1
0,0,0,19,27,1,0,2,0,3,0,1,0,0,0,0,0,0,0,1,0,1,13,21,2,0,0,0,3,0,1,0,0,0,-1,23,1
0,0,0,20,63,36,0,2,1,5,2,1,0,0,0,0,0,0,0,1,0,1,13,26,2,0,0,0,42,0,1,0,0,0,-1,23,1
0,0,0,20,66,39,0,2,1,5,2,1,0,0,0,0,0,0,0,1,0,1,15,28,3,0,0,0,43,0,1,0,0,0,-1,23,1
0,0,0,28,41,6,0,2,0,4,4,3,0,0,0,0,0,0,0,1,0,1,15,23,3,0,0,0,3,0,1,0,0,0,-1,23,1
0,0,0,24,32,1,0,2,0,3,0,0,0,0,0,0,0,0,0,1,0,1,13,21,2,0,0,0,3,0,1,0,0,0,-1,23,1
0,0,0,16,24,1,0,2,0,3,0,0,0,0,0,0,0,0,0,1,0,1,13,21,2,0,0,0,3,0,1,0,0,0,-1,23,1
0,0,0,22,37,8,0,2,0,4,0,2,0,0,0,0,0,0,0,1,0,1,15,23,3,0,0,0,3,0,1,0,0,0,-1,23,1
0,0,0,31,39,1,0,2,0,3,4,2,0,0,0,0,0,0,0,1,0,1,13,21,2,0,0,0,3,0,1,0,0,0,-1,23,1
0,0,0,19,62,36,0,2,1,5,4,2,0,0,0,0,0,0,0,2,0,2,16,31,3,0,0,0,45,0,1,0,0,0,-1,23,1
0,0,0,15,23,1,0,2,0,3,0,0,0,0,0,0,0,0,0,1,0,1,13,21,2,0,0,0,3,0,1,0,0,0,-1,23,1
0,0,0,31,43,5,0,2,0,4,4,2,0,0,0,0,0,0,0,1,0,1,13,21,2,0,0,0,3,0,1,0,0,0,-1,23,1
0,0,0,21,29,1,0,2,0,3,0,0,0,0,0,0,0,0,0,1,0,1,15,23,3,0,0,0,4,0,1,0,0,0,-1,23,1
0,0,0,16,33,10,0,1,0,4,0,0,0,0,0,0,0,0,0,5,0,5,3,4,0,0,0,0,8,0,4,2,5,0,14330363,22,1
0,0,0,16,24,1,0,2,0,3,0,1,0,0,0,0,1,0,0,1,0,1,8,10,0,0,0,0,11,0,0,1,0,0,9069361,22,1
0,0,0,17,33,9,0,2,0,3,0,2,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,1,0,1,0,8588302,22,1
1,0,0,21,41,12,0,2,1,4,0,3,0,0,0,0,0,0,0,1,0,1,2,5,0,0,0,0,0,0,1,0,1,0,4507978,22,1
0,0,0,8,50,35,0,1,1,5,0,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,558,0,2,0,0,0,3301671,22,1
0,0,0,16,36,13,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,11,5,0,0,0,2,0,0,0,0,0,-1,22,1
1,0,0,19,47,20,0,2,1,5,0,2,1,0,0,0,1,0,0,1,0,1,1,2,0,0,0,0,8,0,1,0,1,0,11030332,21,1
1,0,0,19,49,22,0,2,1,5,0,4,1,0,0,0,1,0,0,1,0,1,1,4,0,0,0,0,20,0,1,0,1,0,11018257,21,1
0,0,0,19,39,13,0,2,1,4,0,1,0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,0,1,0,0,0,1,0,8204403,21,1
0,0,0,29,47,11,0,2,0,3,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,56635,21,1
